hessSRR094424,shiSRR873453,stewartERR2027897,stewartERR2027900,stewartERR2027917,hessSRR094417,stewartERR2027930,wallaceERR983267,shiSRR873460,shiSRR873452,stewartERR2027891,wallaceERR983263,shiSRR873606,stewartERR2027921,stewartERR2027890,stewartERR2027903,stewartERR2027904,wallaceERR2027890,shiSRR873603,stewartERR2027895,hessSRR094427,wallaceERR2282092,stewartERR2027928,shiSRR873601,hessSRR094416,wallaceERR983268,stewartERR2027914,stewartERR2027905,wallaceERR983265,shiSRR873461,shiSRR873450,stewartERR2027924,shiSRR873457,stewartERR2027919,stewartERR2027925,stewartERR2027910,shiSRR1267595,stewartERR2027927,shiSRR1222429,shiSRR873463,stewartERR2027894,stewartERR2027899,stewartERR2027920,wallaceERR983264,shiSRR873455,wallaceERR2530126,stewartERR2027915,shiSRR873458,stewartERR2027916,stewartERR2027907,shiSRR873456,stewartERR2027901,hessSRR094403,stewartERR2027913,hessSRR094418,shiSRR873598,shiSRR873465,shiSRR873607,shiSRR873600,hessSRR094428,wallaceERR983269,shiSRR873602,stewartERR2027926,stewartERR2027923,shiSRR873464,shiSRR873608,stewartERR2027908,stewartERR2027893,shiSRR1222431,hessSRR094166,stewartERR2027898,stewartERR2027902,shiSRR873605,stewartERR2027909,stewartERR2027929,shiSRR873454,wallaceERR2530127,wallaceERR983266,shiSRR873595,shiSRR873610,hessSRR094405,wallaceERR983262,wallaceERR2027889,stewartERR2027892,stewartERR2027912,stewartERR2027906,shiSRR873451,hessSRR094419,shiSRR873609,shiSRR873596,stewartERR2027896,stewartERR2027922,stewartERR2027918,stewartERR2027889,shiSRR873462,shiSRR873459,shiSRR873599,stewartERR2027911,hessSRR094415,shiSRR873604,shiSRR873597
MEG_7184|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,5312.0,0,594.0,906.0,183.0,101.0,1018.0,75.0,0,0,89.0,591.0,0,372.0,289.0,2098.0,1008.0,119.0,0,1147.0,1882.0,502.0,139.0,0,94.0,159.0,178.0,2650.0,2475.0,0,0,279.0,0,361.0,262.0,288.0,0,272.0,0,0,789.0,561.0,711.0,581.0,0,2617.0,103.0,0,257.0,883.0,0,1667.0,94.0,365.0,86.0,0,0,0,0,4462.0,59.0,0,300.0,404.0,0,0,890.0,413.0,0,76.0,1670.0,658.0,0,949.0,165.0,0,1219.0,636.0,0,0,73.0,1226.0,230.0,597.0,297.0,2815.0,0,2288.0,0,0,209.0,120.0,338.0,230.0,0,0,0,151.0,88.0,0,0
MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,7898.0,0,0,0,0,0,0,2158.0,0,0,0,0,0,0,481.0,0,0,0,0,0,0,0,1933.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492.0,1596.0,0,0,0,0,0,0,0,0,0,1696.0,0,0,0,1508.0,0,0,0,0,0,1874.0,0,0,0,0,0,0,0,1971.0,0,1602.0,2000.0,0,0,0,0,0,0,1674.0,0,0,1752.0,2750.0
MEG_6636|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,8163.0,0,5999.0,6399.0,5279.0,0,5734.0,5235.0,0,0,3699.0,6100.0,19849.0,7301.0,5679.0,8334.0,8158.0,2657.0,5774.0,5010.0,0,16453.0,5682.0,25216.0,0,6968.0,6989.0,6022.0,3113.0,0,0,7566.0,0,6468.0,5088.0,5825.0,17794.0,6718.0,0,0,5869.0,7903.0,7730.0,9864.0,0,0,5593.0,0,7696.0,8559.0,0,5912.0,0,6220.0,1259.0,24419.0,0,23214.0,31539.0,7421.0,4294.0,20844.0,4881.0,5597.0,0,22519.0,7455.0,5338.0,25940.0,0,10422.0,6539.0,23374.0,8094.0,7591.0,0,6716.0,4199.0,32823.0,21172.0,0,4295.0,5443.0,6835.0,6938.0,7046.0,0,0,26406.0,30123.0,9238.0,5785.0,4812.0,5443.0,0,0,24724.0,5649.0,0,26472.0,30491.0
MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,1633.0,0,203.0,421.0,144.0,114.0,127.0,91.0,0,0,50.0,228.0,0,251.0,218.0,125.0,397.0,100.0,0,295.0,478.0,602.0,140.0,0,88.0,161.0,148.0,310.0,186.0,0,0,157.0,0,172.0,111.0,228.0,0,143.0,0,0,270.0,478.0,222.0,305.0,0,302.0,200.0,0,235.0,1330.0,0,328.0,79.0,119.0,95.0,0,0,0,0,1445.0,100.0,0,193.0,199.0,0,0,186.0,82.0,0,59.0,213.0,169.0,0,290.0,186.0,0,96.0,38.0,0,0,71.0,216.0,180.0,326.0,194.0,287.0,0,515.0,0,0,332.0,141.0,102.0,180.0,0,0,0,180.0,125.0,0,0
MEG_7310|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,2185.0,0,0,0,0,0,0,2301.0,0,0,0,1002.0,0,0,317.0,0,0,302.0,0,0,0,0,0,0,0,0,0,0,1594.0,1034.0,0,802.0,0,0,0,0,0,0,1024.0,0,0,0,0,1144.0,0,0,2477.0,0,0,0,0,0,0,0,1170.0,1479.0,1833.0,1584.0,0,0,936.0,0,0,1170.0,1405.0,0,0,913.0,0,0,0,0,0,0,616.0,0,509.0,1360.0,0,0,0,0,0,0,0,0,0,1072.0,880.0,0,0,0,0,1691.0,1508.0,0,0,0,1304.0,1939.0
MEG_2461|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5213|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7588|Drugs|Glycopeptides|VanG-type_resistance_protein|VANXYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7179|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,3882.0,0,492.0,930.0,242.0,0,412.0,0,0,0,83.0,596.0,0,353.0,245.0,2118.0,884.0,108.0,0,1278.0,1276.0,401.0,185.0,0,58.0,110.0,285.0,2880.0,1965.0,0,0,432.0,0,307.0,293.0,388.0,0,364.0,0,0,789.0,782.0,804.0,1393.0,0,1802.0,129.0,0,254.0,654.0,0,1462.0,0,177.0,59.0,0,0,0,0,3124.0,0,0,1015.0,439.0,0,0,1283.0,590.0,0,0,2128.0,617.0,0,831.0,241.0,0,736.0,130.0,0,0,68.0,1461.0,298.0,623.0,247.0,1880.0,0,1748.0,0,0,146.0,142.0,482.0,298.0,0,0,0,496.0,83.0,0,0
MEG_2472|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3240|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3471.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4872.0
MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,183.0,0,31.0,0,40.0,0,67.0,62.0,0,0,0,40.0,0,62.0,0,0,114.0,0,0,310.0,0,0,0,0,0,58.0,0,30.0,0,0,0,0,0,94.0,51.0,0,0,0,0,0,52.0,0,60.0,144.0,0,0,92.0,0,111.0,0,0,0,0,71.0,0,0,0,0,0,165.0,0,84.0,0,0,0,0,78.0,0,0,0,326.0,42.0,0,69.0,98.0,0,0,56.0,0,0,0,0,127.0,0,94.0,51.0,0,0,0,0,45.0,38.0,0,127.0,0,0,0,54.0,0,0,0
MEG_3827|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFB,978.0,0,23.0,0,0,70.0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,52.0,0,35.0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,83.0,23.0,54.0,0,0,0,0,844.0,0,0,58.0,0,0,0,0,0,0,71.0,0,0,0,0,0,0,0,0,0,0,80.0,0,42.0,0,28.0,0,0,0,0,0,0,85.0,0,42.0,0,0,0,30.0,77.0,0,0
MEG_1692|Drugs|betalactams|Class_A_betalactamases|CFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,347.0,0,53.0,0,55.0,0,49.0,60.0,0,0,0,54.0,0,72.0,56.0,0,26.0,0,0,66.0,0,0,44.0,0,0,63.0,42.0,53.0,0,0,0,36.0,0,75.0,0,206.0,0,44.0,0,0,55.0,68.0,92.0,107.0,0,0,94.0,0,143.0,49.0,0,63.0,0,102.0,0,0,0,0,123.0,290.0,0,0,0,0,0,0,72.0,57.0,0,0,1171.0,113.0,0,0,107.0,0,0,87.0,44.0,0,0,45.0,119.0,46.0,75.0,0,0,0,0,0,72.0,0,46.0,119.0,0,0,0,43.0,0,0,0
MEG_3983|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12634.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1039|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,0,0,0,0,0,0,0,0,0,0,119.0,0,0,0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0
MEG_1696|Drugs|betalactams|Class_A_betalactamases|CFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4114|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|NCCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1693|Drugs|betalactams|Class_A_betalactamases|CFX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2071|Metals|Copper_resistance|Copper_resistance_regulator|COPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4111|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4117|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCCY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7180|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,3775.0,0,492.0,1042.0,201.0,60.0,398.0,0,0,0,101.0,689.0,0,349.0,200.0,2789.0,913.0,93.0,0,1394.0,1450.0,349.0,212.0,0,0,122.0,314.0,3191.0,2109.0,0,0,480.0,0,294.0,289.0,453.0,0,370.0,0,0,769.0,325.0,833.0,364.0,0,1911.0,92.0,0,241.0,661.0,0,1349.0,0,182.0,79.0,0,0,0,0,3080.0,0,0,1250.0,512.0,0,0,1501.0,540.0,0,54.0,2400.0,695.0,0,856.0,224.0,0,546.0,113.0,0,0,0,1473.0,238.0,500.0,270.0,1535.0,0,1724.0,0,0,115.0,136.0,353.0,238.0,0,0,0,481.0,67.0,0,0
MEG_3874|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1006|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280.0
MEG_7152|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,215.0,0,49.0,29.0,34.0,0,48.0,0,0,0,0,0,0,57.0,0,0,0,0,0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,120.0,0,0,0,0,49.0,0,80.0,88.0,0,0,63.0,0,114.0,0,0,0,0,82.0,0,0,0,0,0,175.0,0,0,0,0,0,0,0,0,0,0,833.0,54.0,0,0,92.0,0,0,72.0,0,0,0,0,103.0,43.0,0,0,0,0,0,0,39.0,0,36.0,103.0,0,0,0,0,0,0,0
