"mechanism","hessSRR094424","shiSRR873453","stewartERR2027897","stewartERR2027900","stewartERR2027917","hessSRR094417","stewartERR2027930","wallaceERR983267","shiSRR873460","shiSRR873452","stewartERR2027891","wallaceERR983263","shiSRR873606","stewartERR2027921","stewartERR2027890","stewartERR2027903","stewartERR2027904","wallaceERR2027890","shiSRR873603","stewartERR2027895","hessSRR094427","wallaceERR2282092","stewartERR2027928","shiSRR873601","hessSRR094416","wallaceERR983268","stewartERR2027914","stewartERR2027905","wallaceERR983265","shiSRR873461","shiSRR873450","stewartERR2027924","shiSRR873457","stewartERR2027919","stewartERR2027925","stewartERR2027910","shiSRR1267595","stewartERR2027927","shiSRR873463","stewartERR2027894","stewartERR2027899","stewartERR2027920","wallaceERR983264","shiSRR873455","wallaceERR2530126","stewartERR2027915","shiSRR873458","stewartERR2027916","stewartERR2027907","shiSRR873456","stewartERR2027901","hessSRR094403","stewartERR2027913","hessSRR094418","shiSRR873598","shiSRR873465","shiSRR873607","shiSRR873600","hessSRR094428","wallaceERR983269","shiSRR873602","stewartERR2027926","stewartERR2027923","shiSRR873464","shiSRR873608","stewartERR2027908","stewartERR2027893","shiSRR1222431","hessSRR094166","stewartERR2027898","stewartERR2027902","shiSRR873605","stewartERR2027909","stewartERR2027929","shiSRR873454","wallaceERR2530127","wallaceERR983266","shiSRR873595","shiSRR873610","hessSRR094405","wallaceERR983262","wallaceERR2027889","stewartERR2027892","stewartERR2027912","stewartERR2027906","shiSRR873451","hessSRR094419","shiSRR873609","shiSRR873596","stewartERR2027896","stewartERR2027922","stewartERR2027918","stewartERR2027889","shiSRR873462","shiSRR873459","shiSRR873599","stewartERR2027911","hessSRR094415","shiSRR873604","shiSRR873597"
"Aminoglycoside N-acetyltransferases",2.52649920139393,0,0,0,13.0597014925373,0,0,0,0,0,0,0,1.45848525888113,8.39307571253716,0,0,0,0,0,0,0,0,0,0,0,0,10.5664299324441,0,0,0,0,0,0,7.42574257425743,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72323552735924,0,0,0,0,19.4337811900192,0,0,0,0,125.24925224327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49478449124188,0,0,0,0,1.80090366773327,0,0,4.39204808136847,0,9.06408094435076,0,0,0,1.94455140546785,0,0,0,0,4.39204808136847,0,0,0,0,0,0,129.261080169083
"Copper resistance protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8278286810143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Copper resistance regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0691100220186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multi-metal RND efflux pumps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.390013495277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43320039880359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multi-metal RND efflux regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6633283613893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drug and biocide MFS efflux regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45135247909145
"Acid resistance regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10967098703888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drug and biocide RND efflux regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acid resistance protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49551345962114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lincosamide nucleotidyltransferases",85.2040075504574,0,6.75234153779133,92.1723834652595,13.592750533049,34.5002536783359,21.0315473209815,20.0072753728629,0,0,4.43951165371809,16.8253968253968,0,8.56793145654835,6.0077519379845,19.0599256985947,172.135201978566,3.52250489236791,0,16.7975168888077,88.1298992161254,12.6429433908658,36.8181818181818,0,44.2692540933899,12.1920875839761,5.36982504763554,97.7205153617443,58.8727678571429,0,21.9591369104449,10.9433962264151,0,14.4389438943894,27.7630883130619,9.37555280382098,0,12.9680365296804,0,111.369448965357,26.580984372718,4.91400491400491,208.828522920204,21.9842164599775,0,61.1769686706181,0,13.3227597145123,83.6030204962244,0,33.8848234171174,33.7013364323068,17.5143953934741,39.8040416411513,0,0,0,38.0109670987039,91.7316803818888,11.9536794919686,0,5.27314912465725,11.5800700898979,0,0,28.1990521327014,7.29427855026214,0,26.6331658291457,12.4838172739042,7.76737701653057,0,4.79751657965289,12.9895689824838,0,29.7326786688489,10.7615894039735,35.3847640210618,0,29.6979006656426,114.627887082977,15.7189089227924,29.1211648465939,10.539629005059,166.352497643732,0,86.9827846572033,0,4.07384655177988,6.03918102813375,9.24054288189431,16.8736071314868,15.7189089227924,0,0,0,4.72711645896003,47.0873786407767,0,0
"MLS resistance MFS efflux pumps",593.901553651808,0,36.3755173164888,65.9630606860158,25.5863539445629,218.1633688483,26.7901852779169,31.2841033102947,0,0,32.9263780984092,96.5079365079365,0,40.5665326105963,21.8992248062016,35.3739298982394,41.714756801319,22.7005870841487,0,38.7073215263831,257.782754759239,4.97194403011578,23.4090909090909,0,261.37052759248,45.036078626524,46.5962238004504,56.6897918731417,448.660714285714,0,0,19.4339622641509,0,33.2095709570957,32.7868852459016,36.6177251017159,0,28.1278538812785,0,171.588002790049,54.4764130276033,26.3250263250263,41.3533834586466,0,0,31.3293818797629,0,31.086439333862,47.9144192736426,0,83.9961819917277,284.137129575828,23.9923224568138,291.488058787508,0,0,0,0,519.219122938264,41.0907732536421,0,49.7785277367644,38.7018131951851,0,0,307.345971563981,49.2363802142694,0,220.100502512563,76.3824671721842,26.0904202350129,0,15.0980668830253,39.7559535524503,0,0,54.2218543046358,0,0,246.799795186892,91.5312232677502,58.7147480351364,83.7233489339574,31.1973018549747,91.8944392082941,0,294.573643410853,0,0,42.4215642951834,63.5287323130234,22.9226361031519,58.7147480351364,0,0,0,37.8169316716803,250,0,0
"Mercury resistance protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4072732438383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23772541792813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284991628370917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0949263502455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mercury resistance regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4186376873357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921416348558642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nim nitroimidazole reductase",5.28532016843328,1.62337662337662,91.7011544325855,38.8742304309587,46.908315565032,0,60.3405107661492,85.1218624954529,0,0,44.3951165371809,73.8095238095238,27.9369378754731,96.5203706941773,49.4186046511628,49.7496365692134,63.643858202803,46.1839530332681,9.58425074472219,35.2382691254336,0,17.827970736558,58.6363636363636,48.2614038892503,16.3735597331716,92.3115202786763,68.4219643166465,77.3042616451933,100.725446428571,0,0,67.7358490566038,0,34.0346534653465,80.9095716552089,39.9787723332744,36.5864332603939,76.1643835616438,0,42.7807486631016,43.0845625821528,62.8290628290628,70.9434877516372,0,8.55600895090167,51.0160880609653,0,72.3235527359239,34.1603739661992,0,30.0668151447661,13.9453805926787,85.8925143953935,15.3092467850582,11.5701485356907,2.41640910368081,50.5190003118457,30.4087736789631,5.37921698550105,59.0212924915951,18.163051259427,186.669479012867,79.6891665396922,0,25.9909802990743,101.421800947867,67.4720765899248,12.733070084676,0,71.7588311448123,50.3883688508265,17.3683183422925,43.4598560745026,89.1556780161386,0,89.4708128750682,21.9370860927152,51.4950968552244,19.520509398466,12.2887864823349,120.615911035073,60.1017105871475,33.9746923210262,75.885328836425,98.2563619227144,0,0,32.2872545244513,46.6229105370364,62.8958609515393,112.619116373087,95.8293537090099,60.1017105871475,2.39664469742361,0,33.0603025394145,61.022776106575,11.1650485436893,13.116180767079,116.906442190817
"Class D betalactamases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0634988280418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6944903031512
"Arsenic resistance protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89456630109671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptothricin acetyltransferase",0,0,0,2.99032541776605,0,0,0,0,0,0,0,0,0,0,0.968992248062015,0,3.95713107996702,0,0,0,0,0,0,0,0,0,0,1.58572844400396,15.3459821428571,0,0,0,0,0,0,0,0,0,0,0,33.5913538776106,0,0,0,0,0,0,0,9.79863358504135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2654028436019,0,0,0,8.59996301091178,0,0,0,0,0,0,0,0,0,0,54.7476475620188,0,1.21338186860808,0,22.3845428840716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulfonamide-resistant dihydropteroate synthases",0,0,0,3.8698328935796,0,0,0,0,0,0,0,0,0,0,0,22.6134711678243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76897222713603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8767772511848,0,0,0,1.84945441094877,0,0,0,0,0,0,0,0,0,0,0,0,5.02686774137632,0,437.5589066918,0,0,0,0,0,0,0,0,0,0,0,27.9329608938548,0,0,0
"Tetracycline resistance ribosomal protection proteins",4263.48192246261,0,3695.27336092355,4925.24186455585,3661.78038379531,3050.73566717402,3405.10766149224,2945.07093488541,0,0,1515.35331113578,4149.04761904762,0,3926.73544325931,2448.64341085271,7140.68809562268,5907.50206100577,2144.0313111546,0,5054.226766478,4156.99888017917,2085.58846508985,2881.36363636364,0,3417.22255912674,3266.48420004976,2563.13874935042,9435.08424182359,11910.15625,0,0,3203.39622641509,0,3323.84488448845,3556.58381808567,3156.73093932425,8.28592268417214,2546.48401826484,0,5631.94605905603,6661.60362202424,4611.09161109161,7006.42735871938,0,4693.56324865078,3713.16680779001,0,3562.88659793814,3599.33477166487,0,5357.77919185492,3301.56885531668,3504.55854126679,3434.17023882425,0,0,7.23927473604491,28.5082253240279,4542.26782088276,3217.40754576018,1.99776915777382,4021.5144484286,2572.14688404693,0,4.49007041696337,5914.21800947867,4353.31661727832,4.77226175644572,2953.76884422111,4982.15276493434,3724.75602469628,1.61441978462576,4675.46211372936,4047.82523125369,0,7267.86688488816,2546.35761589404,19.0087435389595,0,2956.47721454173,5457.31394354149,3720.29588534443,4714.8552608771,3874.7892074199,9383.12912346843,0,4325.68206986812,0.750866384289565,72.6179313912509,3220.94564737075,3457.40687265377,5051.89430117797,3720.29588534443,0,0,9.87930365739579,3991.19037387194,3518.44660194175,0,4.35405743727436
"Tetracycline resistance MFS efflux pumps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6423841059603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetracycline inactivation enzymes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4608523290387,8.64955357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lipid A modification",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2116151545364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VanG-type resistance protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54016620498615,0,0,0,0,0,15.2626362735382,0,0,0,0,0,0,0,0,0,0,0,4.65008137642409,6.4261720461516,0,26.8008731506185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.907262957185,0,26.3901979264844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VanD-type accessory protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21270919233568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64938737040528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biocide and metal resistance protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529661016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drug and biocide ABC efflux pumps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04735792622134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zinc resistance protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4559982953335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
